volatile acidity,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,sulphates,alcohol,quality,combined acidity
0.7,1.9,0.076,11.0,34.0,0.9978,0.56,9.4,5,0.0
0.88,2.6,0.098,25.0,67.0,0.9968,0.68,9.8,5,0.0
0.76,2.3,0.092,15.0,54.0,0.997,0.65,9.8,5,1.0171199999999998
0.28,1.9,0.075,17.0,60.0,0.998,0.58,9.8,6,19.81952
0.7,1.9,0.076,11.0,34.0,0.9978,0.56,9.4,5,0.0
0.66,1.8,0.075,13.0,40.0,0.9978,0.56,9.4,5,0.0
0.6,1.6,0.069,15.0,59.0,0.9964,0.46,9.4,5,1.5642
0.65,1.2,0.065,15.0,21.0,0.9946,0.47,10.0,7,0.0
0.58,2.0,0.073,9.0,18.0,0.9968,0.57,9.5,7,0.52416
0.5,6.1,0.071,17.0,102.0,0.9978,0.8,10.5,5,9.045
0.58,1.8,0.097,15.0,65.0,0.9959,0.54,9.2,5,1.7580799999999999
0.5,6.1,0.071,17.0,102.0,0.9978,0.8,10.5,5,9.045
0.615,1.6,0.089,16.0,59.0,0.9943,0.52,9.9,5,0.0
0.61,1.6,0.114,9.0,29.0,0.9974,1.56,9.1,5,7.374119999999999
0.62,3.8,0.176,52.0,145.0,0.9986,0.88,9.2,5,5.062320000000001
0.62,3.9,0.17,51.0,148.0,0.9986,0.93,9.2,5,5.36047
0.28,1.8,0.092,35.0,103.0,0.9969,0.75,10.5,7,15.708
0.56,1.7,0.368,16.0,56.0,0.9968,1.28,9.3,5,7.05348
0.59,4.4,0.086,6.0,29.0,0.9974,0.5,9.0,4,2.00096
0.32,1.8,0.341,17.0,56.0,0.9969,1.08,9.2,6,12.24816
0.22,1.8,0.077,29.0,60.0,0.9968,0.53,9.4,6,14.482080000000002
0.39,2.3,0.082,23.0,71.0,0.9982,0.65,9.7,5,8.29312
0.43,1.6,0.106,10.0,37.0,0.9966,0.91,9.5,5,5.25903
0.49,2.3,0.084,9.0,67.0,0.9968,0.53,9.4,5,2.96395
0.4,2.4,0.085,21.0,40.0,0.9968,0.63,9.7,6,3.3133800000000004
0.39,1.4,0.08,11.0,23.0,0.9955,0.56,9.3,5,3.36672
0.41,1.8,0.08,4.0,11.0,0.9962,0.59,9.5,5,5.982719999999999
0.43,1.6,0.106,10.0,37.0,0.9966,0.91,9.5,5,5.25903
0.71,1.9,0.08,14.0,35.0,0.9972,0.55,9.4,5,0.0
0.645,2.0,0.082,8.0,16.0,0.9964,0.59,9.8,6,0.0
0.675,2.4,0.089,17.0,82.0,0.9958,0.54,10.1,5,1.5711500000000003
0.685,2.5,0.105,22.0,37.0,0.9966,0.57,10.6,6,0.0
0.655,2.3,0.083,15.0,113.0,0.9966,0.66,9.8,5,3.15732
0.605,10.7,0.073,40.0,83.0,0.9993,0.52,9.4,6,2.8566000000000003
0.32,1.8,0.103,13.0,50.0,0.9957,0.55,9.2,5,4.394
0.645,5.5,0.086,5.0,18.0,0.9986,0.55,9.6,6,0.0
0.6,2.4,0.086,3.0,15.0,0.9975,0.6,10.8,6,3.73464
0.38,2.1,0.066,13.0,30.0,0.9968,0.73,9.7,7,7.325640000000001
1.13,1.5,0.172,7.0,19.0,0.994,0.48,9.8,4,1.7954999999999999
0.45,5.9,0.074,12.0,87.0,0.9978,0.83,10.5,5,8.75124
0.45,5.9,0.074,12.0,87.0,0.9978,0.83,10.5,5,8.75124
0.61,2.8,0.088,17.0,46.0,0.9976,0.51,9.3,4,8.606399999999999
0.49,2.6,0.332,8.0,14.0,0.9968,0.9,10.5,6,4.815
0.66,2.2,0.069,9.0,23.0,0.9968,1.2,10.3,5,5.880599999999999
0.67,1.8,0.05,5.0,11.0,0.9962,0.52,9.5,5,0.47328
0.52,2.1,0.054,8.0,65.0,0.9934,0.56,13.1,4,2.6909999999999994
0.935,2.2,0.114,22.0,114.0,0.997,0.73,9.2,5,10.760750000000002
0.29,1.6,0.113,12.0,37.0,0.9969,0.58,9.5,5,14.703
0.4,1.6,0.066,5.0,12.0,0.9958,0.56,9.2,5,4.916480000000001
0.31,1.4,0.074,12.0,96.0,0.9954,0.58,9.2,5,6.87904
0.66,1.7,0.074,4.0,23.0,0.9971,0.74,9.2,5,7.207200000000001
0.52,2.2,0.069,8.0,15.0,0.9956,0.63,9.4,6,0.8976
0.5,2.1,0.068,6.0,14.0,0.9955,0.64,9.4,6,0.89496
0.38,3.0,0.081,30.0,119.0,0.997,0.56,9.4,5,9.9072
0.51,2.8,0.11,33.0,73.0,0.9955,0.63,10.2,6,3.6137999999999995
0.62,3.8,0.084,25.0,45.0,0.9978,0.53,9.5,5,1.02872
0.42,3.4,0.07,4.0,10.0,0.9971,0.63,9.6,5,17.67456
0.63,5.1,0.111,50.0,110.0,0.9983,0.77,9.4,5,2.9339999999999997
0.59,2.3,0.076,17.0,54.0,0.9975,0.59,10.0,5,4.81572
0.39,2.4,0.074,9.0,46.0,0.9962,0.54,9.4,6,7.71683
0.4,2.2,0.079,19.0,52.0,0.998,0.64,9.2,5,12.108800000000002
0.69,1.8,0.115,20.0,112.0,0.9968,0.71,9.3,5,12.111329999999999
0.52,1.9,0.085,12.0,35.0,0.9968,0.62,9.5,7,4.056
0.735,2.0,0.081,13.0,54.0,0.9966,0.57,9.8,5,1.1865
0.725,4.65,0.086,4.0,11.0,0.9962,0.39,10.9,5,1.2276000000000002
0.725,4.65,0.086,4.0,11.0,0.9962,0.39,10.9,5,1.2276000000000002
0.52,1.5,0.079,11.0,39.0,0.9968,0.58,9.6,5,2.8215
0.705,1.6,0.076,6.0,15.0,0.9962,0.58,10.7,5,1.58928
0.32,2.0,0.074,27.0,65.0,0.9969,0.79,10.7,5,17.38728
0.705,1.9,0.074,8.0,19.0,0.9962,0.95,10.5,6,1.336
0.63,1.9,0.076,15.0,27.0,0.9967,0.54,9.5,6,2.04512
0.67,2.1,0.088,17.0,96.0,0.9962,0.48,9.5,5,5.87972
0.69,1.9,0.084,18.0,94.0,0.9961,0.48,9.5,5,5.60714
0.675,2.1,0.084,11.0,43.0,0.9976,0.53,9.2,4,7.1429800000000006
0.32,2.5,0.094,28.0,83.0,0.9984,0.82,9.6,5,17.18064
0.41,2.2,0.093,9.0,42.0,0.9986,0.66,10.5,5,19.937280000000005
0.41,2.2,0.093,9.0,42.0,0.9986,0.66,10.5,5,19.937280000000005
0.785,2.4,0.104,14.0,30.0,0.9966,0.55,10.7,6,0.0
0.75,2.0,0.086,12.0,80.0,0.9958,0.52,10.1,5,2.71752
0.625,1.5,0.08,27.0,119.0,0.9972,1.12,9.1,4,5.245600000000001
0.45,1.6,0.069,3.0,15.0,0.9958,0.56,9.2,5,4.228400000000001
0.43,1.9,0.464,22.0,67.0,0.9974,1.28,9.4,5,17.089799999999997
0.5,2.0,0.086,21.0,73.0,0.997,0.57,9.1,5,11.68608
0.67,1.8,0.401,16.0,51.0,0.9969,1.14,9.4,5,5.997680000000001
0.3,1.8,0.069,18.0,61.0,0.9959,0.78,10.3,6,10.40256
0.55,2.2,0.076,19.0,40.0,0.9961,0.59,10.1,5,3.5293500000000004
0.49,1.9,0.11,20.0,136.0,0.9972,1.95,9.9,6,7.055440000000001
0.49,1.9,0.062,9.0,31.0,0.9966,0.64,9.6,5,6.78678
0.39,2.1,0.107,34.0,125.0,0.9978,1.22,9.5,5,12.848880000000001
0.62,1.8,0.076,8.0,24.0,0.9978,0.53,9.0,5,1.9488
0.52,1.9,0.079,42.0,140.0,0.9964,0.54,9.5,5,6.63442
0.49,1.9,0.11,20.0,136.0,0.9972,1.95,9.9,6,7.055440000000001
0.49,2.0,0.11,19.0,133.0,0.9972,1.98,9.8,5,7.30742
0.49,1.9,0.062,9.0,31.0,0.9966,0.64,9.6,5,6.78678
1.02,1.4,0.045,41.0,85.0,0.9938,0.48,10.5,4,0.75
0.6,2.3,0.058,17.0,106.0,0.9932,0.6,12.9,6,3.0761500000000006
0.775,3.0,0.102,8.0,23.0,0.9965,0.56,10.7,5,0.0
0.5,2.0,0.07,3.0,22.0,0.9963,0.63,9.2,5,5.6875
0.9,2.5,0.079,5.0,10.0,0.9967,0.56,9.8,5,1.5458399999999999
0.545,1.9,0.08,13.0,35.0,0.9972,0.59,9.0,6,4.811399999999999
0.61,2.1,0.084,11.0,50.0,0.9972,0.61,10.2,6,8.466000000000001
0.5,1.9,0.075,8.0,22.0,0.9959,0.56,10.4,6,7.7454
0.545,1.9,0.08,13.0,35.0,0.9972,0.59,9.0,6,4.811399999999999
0.575,2.1,0.077,12.0,65.0,0.9967,0.51,9.2,5,5.86278
0.49,2.2,0.07,5.0,36.0,0.996,0.48,9.4,5,5.75424
0.575,2.1,0.077,12.0,65.0,0.9967,0.51,9.2,5,5.86278
0.41,1.7,0.467,18.0,69.0,0.9973,1.31,9.3,5,16.33632
0.63,1.7,0.088,15.0,64.0,0.9969,0.79,9.3,5,6.65012
